1067,The Mummy,1442,smb://GLASSES/Movies/The Mummy (2017)/The.Mummy.2017.1080p.WEB-DL.H264.AC3-EVO[EtHD]/
1068,The Neon Demon,1443,smb://GLASSES/Movies/The Neon Demon (2016)/
1071,The Predator,1446,smb://GLASSES/Movies/The Predator (2018)/
1084,The Reaping,1458,smb://GLASSES/Movies/The Reaping/
1087,The Rite,1461,smb://GLASSES/Movies/The Rite (2011)/
1098,The Shining,1472,smb://GLASSES/Movies/The Shining (1980)/
1100,The Signal,1474,smb://GLASSES/Movies/The Signal (2007)/
1102,The Silence of the Lambs,1476,smb://GLASSES/Movies/The Silence Of The Lambs (1991)/
1108,The Texas Chainsaw Massacre,1482,smb://GLASSES/Movies/The Texas Chainsaw Massacre 1974 720p BRRip x264-HDLiTE/
1110,The Thing,1484,smb://GLASSES/Movies/The Thing (1982)/
1111,The Thing,1485,smb://GLASSES/Movies/The Thing (2011)/
1112,The Thing,1486,smb://GLASSES/Movies/The Thing (2011)/The.Thing (2011)/
1124,The Wailing,1498,smb://GLASSES/Movies/The Wailing (2016)/
1127,The Witch,1501,smb://GLASSES/Movies/The Witch (2015)/
1128,The Witches of Eastwick,1502,smb://GLASSES/Movies/The Witches Of Eastwick (1987)/
1137,Thirst,1510,smb://GLASSES/Movies/Thirst (2009)/
1150,Tokyo Gore Police,1522,smb://GLASSES/Movies/Tokyo Gore police/
1164,Troll Hunter,1536,smb://GLASSES/Movies/TrollHunter (2010)/
1170,Twilight Zone: The Movie,1542,smb://GLASSES/Movies/Twilight.Zone.The.Movie.(1983)/
1177,Upgrade,1549,smb://GLASSES/Movies/Upgrade.2018.720p.BluRay.H264.AAC-RARBG/
1179,Us,1551,smb://GLASSES/Movies/Us (2019)/
1185,Vampire Hunter D,1557,smb://GLASSES/Movies/Vampire Hunter D (1985)/
1186,Vampire Hunter D: Bloodlust,1558,smb://GLASSES/Movies/Vampire Hunter D Bloodlust (2000)/
1189,V/H/S,1561,smb://GLASSES/Movies/VHS (2012)/
1190,V/H/S/2,1562,smb://GLASSES/Movies/VHS 2 (2013)/
1191,V/H/S: Viral,1563,smb://GLASSES/Movies/VHS Viral (2014)/
1209,What We Do in the Shadows,1581,smb://GLASSES/Movies/What We Do In The Shadows (2014)/
1217,World War Z,1589,smb://GLASSES/Movies/World War Z (2013)/
1249,Zombieland: Double Tap,1622,smb://GLASSES/Movies/Zombieland.Double.Tap.2019.1080p.BluRay.x264-DRONES[rarbg]/
1252,Happy Death Day,1630,smb://GLASSES/Movies/Happy.Death.Day.2017.1080p.BluRay.H264.AAC-RARBG/
1254,Color Out of Space,1632,smb://GLASSES/Movies/Color.Out.of.Space.2019.1080p.SCREENER.x264-TOPKEK/
1256,Doctor Sleep,1634,smb://GLASSES/Movies/Doctor.Sleep.2019.DC.1080p.WEBRip.x264-RARBG/
1267,Cell,1645,smb://GLASSES/Movies/Cell.2016.HDRip.XViD-ETRG/
1269,Little Monsters,1647,smb://GLASSES/Movies/Little.Monsters.2019.1080p.WEBRip.x264-RARBG/
1279,Underwater,1666,smb://GLASSES/Movies/Underwater.2020.1080p.HDRip.x264.AAC2.0-STUTTERSHIT/
1289,Ajin: Demi-Human,1693,smb://GLASSES/Movies/Ajin Demi-Human (2017)/
1300,Dead Space: Aftermath,1704,smb://GLASSES/Movies/Dead.Space.Aftermath.2011.1080p.BluRay.H264.AAC-RARBG/
1301,Deep Blue Sea,1705,smb://GLASSES/Movies/Deep Blue Sea (1999) [1080p]/
1305,Host,1709,smb://GLASSES/Movies/Host (2020) [1080p] [WEBRip] [YTS.MX]/
1306,Housebound,1710,smb://GLASSES/Movies/Housebound (2014) [1080p]/
1328,Possessor Uncut,1732,smb://GLASSES/Movies/Possessor.2020.1080p.WEBRip.x265-RARBG/
1329,Relic,1733,smb://GLASSES/Movies/Relic.2020.1080p.WEBRip.x265-RARBG/
1338,Spell,1741,smb://GLASSES/Movies/Spell.2020.WEB-DL.XviD.AC3-FGT/
1367,Wicked City,1770,smb://GLASSES/Movies/Wicked City (1987)/
1377,Buffy the Vampire Slayer,1803,smb://GLASSES/Movies/Buffy.The.Vampire.Slayer.1992.1080p.BluRay.x265-RARBG/
1380,His House,1805,smb://GLASSES/Movies/His.House.2020.1080p.WEBRip.x265-RARBG/
1398,Army of the Dead,1828,smb://GLASSES/Movies/Army.of.the.Dead.2021.WEBRip.x264-ION10/
1400,Tetsuo: The Iron Man,1830,smb://GLASSES/Movies/Tetsuo.The.Iron.Man.1989.JAPANESE.1080p.BluRay.H264.AAC-VXT/
1401,Spiral: From the Book of Saw,1831,smb://GLASSES/Movies/Spiral.From.the.Book.of.Saw.2021.1080p.AMZN.WEBRip.DDP5.1.x264-CM/
1408,Fear Street Part One: 1994,1839,smb://GLASSES/Movies/Fear.Street.Part.1.1994.2021.1080p.WEBRip.x265-RARBG/
